index,Better,Worse,label
220,frames/Knot_Tying/H005,frames/Knot_Tying/G001,1
14,frames/HandDrawing/A5,frames/HandDrawing/B5,1
11,frames/Suturing/C002,frames/Suturing/C005,1
136,frames/Needle_Passing/D002,frames/Needle_Passing/D001,1
115,frames/Needle_Passing/C004,frames/Needle_Passing/D001,1
190,frames/Needle_Passing/E003,frames/Needle_Passing/D002,1
132,frames/Needle_Passing/F004,frames/Needle_Passing/D004,1
208,frames/Knot_Tying/D001,frames/Knot_Tying/H003,1
296,frames/Knot_Tying/B002,frames/Knot_Tying/B004,1
178,frames/Knot_Tying/H003,frames/Knot_Tying/G005,1
16,frames/ChopstickUsing/F2,frames/ChopstickUsing/G4,1
189,frames/Knot_Tying/H004,frames/Knot_Tying/E005,1
312,frames/Suturing/H003,frames/Suturing/I005,1
82,frames/Suturing/I002,frames/Suturing/E001,1
57,frames/Knot_Tying/H003,frames/Knot_Tying/I002,1
269,frames/ChopstickUsing/B2,frames/ChopstickUsing/G1,1
51,frames/ChopstickUsing/D5,frames/ChopstickUsing/B2,1
160,frames/ChopstickUsing/D2,frames/ChopstickUsing/B1,1
339,frames/Knot_Tying/E005,frames/Knot_Tying/G004,1
124,frames/Suturing/B001,frames/Suturing/B005,1
336,frames/Suturing/E005,frames/Suturing/B005,1
110,frames/ChopstickUsing/D5,frames/ChopstickUsing/C2,1
229,frames/ChopstickUsing/H3,frames/ChopstickUsing/G3,1
114,frames/Knot_Tying/G005,frames/Knot_Tying/G001,1
55,frames/HandDrawing/B1,frames/HandDrawing/E1,1
169,frames/Knot_Tying/B003,frames/Knot_Tying/B004,1
174,frames/ChopstickUsing/F5,frames/ChopstickUsing/F4,1
228,frames/Suturing/C004,frames/Suturing/H001,1
41,frames/HandDrawing/A3,frames/HandDrawing/B5,1
94,frames/Needle_Passing/I003,frames/Needle_Passing/B002,1
3,frames/Suturing/G005,frames/Suturing/D004,1
34,frames/Sonic_Drawing/B2,frames/Sonic_Drawing/C5,1
361,frames/Suturing/I004,frames/Suturing/H004,1
222,frames/Needle_Passing/I004,frames/Needle_Passing/C005,1
70,frames/ChopstickUsing/H3,frames/ChopstickUsing/F3,1
99,frames/ChopstickUsing/C5,frames/ChopstickUsing/C2,1
9,frames/Suturing/C001,frames/Suturing/C003,0
7,frames/Needle_Passing/C004,frames/Needle_Passing/C001,1
311,frames/Suturing/C001,frames/Suturing/I005,1
348,frames/Suturing/C002,frames/Suturing/G003,1
21,frames/ChopstickUsing/C5,frames/ChopstickUsing/F1,1
43,frames/HandDrawing/F1,frames/HandDrawing/F2,0
145,frames/Needle_Passing/H002,frames/Needle_Passing/C001,1
72,frames/Needle_Passing/E001,frames/Needle_Passing/C001,1
11,frames/HandDrawing/E1,frames/HandDrawing/F3,1
39,frames/DoughRolling/S08,frames/DoughRolling/S47,1
69,frames/Needle_Passing/F003,frames/Needle_Passing/E003,1
357,frames/Suturing/H005,frames/Suturing/D003,1
146,frames/Suturing/I005,frames/Suturing/G003,1
183,frames/ChopstickUsing/A2,frames/ChopstickUsing/B5,1
157,frames/ChopstickUsing/H3,frames/ChopstickUsing/H1,1
115,frames/Needle_Passing/E003,frames/Needle_Passing/B002,1
246,frames/Knot_Tying/D003,frames/Knot_Tying/B003,1
56,frames/Sonic_Drawing/D3,frames/Sonic_Drawing/B3,1
23,frames/Sonic_Drawing/B5,frames/Sonic_Drawing/D1,1
262,frames/ChopstickUsing/C1,frames/ChopstickUsing/C5,1
7,frames/HandDrawing/B2,frames/HandDrawing/E3,1
141,frames/Suturing/D002,frames/Suturing/B005,1
38,frames/HandDrawing/F5,frames/HandDrawing/F1,1
27,frames/Sonic_Drawing/D2,frames/Sonic_Drawing/B5,1
123,frames/Needle_Passing/F003,frames/Needle_Passing/E003,1
275,frames/Needle_Passing/E005,frames/Needle_Passing/D002,1
38,frames/DoughRolling/S22,frames/DoughRolling/S47,0
321,frames/Suturing/I002,frames/Suturing/D004,1
54,frames/Needle_Passing/E003,frames/Needle_Passing/D002,1
224,frames/Suturing/I005,frames/Suturing/G003,1
199,frames/Suturing/C001,frames/Suturing/H005,1
145,frames/ChopstickUsing/H4,frames/ChopstickUsing/B1,1
103,frames/Needle_Passing/E005,frames/Needle_Passing/F003,1
10,frames/HandDrawing/B2,frames/HandDrawing/F3,1
17,frames/Knot_Tying/E005,frames/Knot_Tying/D003,1
272,frames/Suturing/D001,frames/Suturing/B004,1
77,frames/HandDrawing/B5,frames/HandDrawing/F3,1
365,frames/Suturing/G005,frames/Suturing/G002,1
122,frames/Suturing/G005,frames/Suturing/H001,1
81,frames/DoughRolling/S18,frames/DoughRolling/S11,1
68,frames/Suturing/E003,frames/Suturing/G001,1
74,frames/Needle_Passing/F001,frames/Needle_Passing/B001,1
52,frames/ChopstickUsing/C4,frames/ChopstickUsing/E4,0
320,frames/Suturing/I003,frames/Suturing/B004,1
131,frames/Knot_Tying/E002,frames/Knot_Tying/I001,1
232,frames/Knot_Tying/C001,frames/Knot_Tying/D001,1
71,frames/Suturing/I003,frames/Suturing/G003,1
30,frames/Suturing/F005,frames/Suturing/D002,1
78,frames/ChopstickUsing/C4,frames/ChopstickUsing/C2,1
24,frames/Needle_Passing/E001,frames/Needle_Passing/D002,1
205,frames/ChopstickUsing/E2,frames/ChopstickUsing/C2,1
139,frames/Needle_Passing/I005,frames/Needle_Passing/H005,1
13,frames/HandDrawing/A5,frames/HandDrawing/F5,1
156,frames/Suturing/H005,frames/Suturing/D005,1
7,frames/Suturing/C004,frames/Suturing/B001,1
56,frames/DoughRolling/S15,frames/DoughRolling/S51,1
244,frames/ChopstickUsing/B3,frames/ChopstickUsing/E5,1
128,frames/Suturing/F001,frames/Suturing/C002,1
106,frames/ChopstickUsing/A3,frames/ChopstickUsing/A5,1
95,frames/Knot_Tying/F002,frames/Knot_Tying/C003,1
42,frames/ChopstickUsing/D5,frames/ChopstickUsing/C4,1
271,frames/ChopstickUsing/D2,frames/ChopstickUsing/F2,1
109,frames/Needle_Passing/H005,frames/Needle_Passing/B004,1
45,frames/Knot_Tying/C004,frames/Knot_Tying/F003,1
60,frames/Needle_Passing/I005,frames/Needle_Passing/H002,1
28,frames/Knot_Tying/G001,frames/Knot_Tying/I001,0
267,frames/Suturing/C003,frames/Suturing/H003,1
47,frames/DoughRolling/S31,frames/DoughRolling/S37,0
230,frames/ChopstickUsing/A3,frames/ChopstickUsing/A2,1
289,frames/Knot_Tying/H005,frames/Knot_Tying/F005,1
192,frames/ChopstickUsing/F1,frames/ChopstickUsing/G1,1
303,frames/ChopstickUsing/H2,frames/ChopstickUsing/F4,1
82,frames/Knot_Tying/F001,frames/Knot_Tying/B003,1
89,frames/ChopstickUsing/E3,frames/ChopstickUsing/E4,1
28,frames/Needle_Passing/E005,frames/Needle_Passing/D001,1
325,frames/Suturing/G005,frames/Suturing/B004,1
41,frames/DoughRolling/S30,frames/DoughRolling/S35,0
288,frames/Suturing/F003,frames/Suturing/F002,1
5,frames/DoughRolling/S25,frames/DoughRolling/S14,1
143,frames/Knot_Tying/H004,frames/Knot_Tying/H005,1
156,frames/Suturing/C002,frames/Suturing/I005,1
99,frames/Suturing/I002,frames/Suturing/D002,1
40,frames/ChopstickUsing/A3,frames/ChopstickUsing/F4,1
227,frames/Needle_Passing/E003,frames/Needle_Passing/D003,1
285,frames/ChopstickUsing/C5,frames/ChopstickUsing/F1,1
6,frames/Needle_Passing/E005,frames/Needle_Passing/D003,1
51,frames/Sonic_Drawing/C2,frames/Sonic_Drawing/B1,1
10,frames/Needle_Passing/D004,frames/Needle_Passing/D002,1
66,frames/ChopstickUsing/B1,frames/ChopstickUsing/G5,1
315,frames/Suturing/I002,frames/Suturing/B003,1
124,frames/Knot_Tying/C003,frames/Knot_Tying/D003,1
206,frames/Suturing/G001,frames/Suturing/B005,1
237,frames/ChopstickUsing/D5,frames/ChopstickUsing/G4,1
19,frames/HandDrawing/B1,frames/HandDrawing/E3,1
135,frames/Suturing/B004,frames/Suturing/D004,1
100,frames/ChopstickUsing/D4,frames/ChopstickUsing/E3,1
281,frames/Knot_Tying/G002,frames/Knot_Tying/G003,1
44,frames/Suturing/G004,frames/Suturing/D002,1
92,frames/Suturing/G005,frames/Suturing/D004,1
146,frames/Knot_Tying/F004,frames/Knot_Tying/G004,1
306,frames/Suturing/G004,frames/Suturing/B003,1
261,frames/ChopstickUsing/H4,frames/ChopstickUsing/G1,1
22,frames/Knot_Tying/F005,frames/Knot_Tying/G003,1
94,frames/ChopstickUsing/C4,frames/ChopstickUsing/B4,1
249,frames/Suturing/B002,frames/Suturing/G003,1
19,frames/Needle_Passing/F003,frames/Needle_Passing/C003,1
261,frames/Suturing/F005,frames/Suturing/H005,1
32,frames/Knot_Tying/F005,frames/Knot_Tying/G005,1
288,frames/Knot_Tying/C004,frames/Knot_Tying/G001,1
96,frames/Suturing/G001,frames/Suturing/B004,1
69,frames/Needle_Passing/C002,frames/Needle_Passing/B001,1
12,frames/ChopstickUsing/H3,frames/ChopstickUsing/G1,1
1,frames/ChopstickUsing/A1,frames/ChopstickUsing/E2,0
358,frames/Suturing/I002,frames/Suturing/D005,1
203,frames/Suturing/C005,frames/Suturing/H001,1
105,frames/ChopstickUsing/A5,frames/ChopstickUsing/G5,1
170,frames/ChopstickUsing/B3,frames/ChopstickUsing/E1,1
116,frames/ChopstickUsing/E4,frames/ChopstickUsing/B5,1
1,frames/HandDrawing/F3,frames/HandDrawing/F2,1
86,frames/Needle_Passing/H005,frames/Needle_Passing/B001,1
119,frames/Knot_Tying/E003,frames/Knot_Tying/C004,1
246,frames/Knot_Tying/C003,frames/Knot_Tying/I001,1
50,frames/Knot_Tying/F002,frames/Knot_Tying/E004,1
95,frames/DoughRolling/S22,frames/DoughRolling/S51,1
287,frames/Knot_Tying/C002,frames/Knot_Tying/I002,1
63,frames/ChopstickUsing/C3,frames/ChopstickUsing/G1,1
14,frames/Suturing/E002,frames/Suturing/E005,1
91,frames/DoughRolling/S55,frames/DoughRolling/S35,1
278,frames/ChopstickUsing/C3,frames/ChopstickUsing/F4,1
64,frames/Suturing/C004,frames/Suturing/C005,1
184,frames/Knot_Tying/E004,frames/Knot_Tying/B002,1
45,frames/Knot_Tying/H005,frames/Knot_Tying/G002,1
147,frames/Suturing/I005,frames/Suturing/G001,1
30,frames/Knot_Tying/F005,frames/Knot_Tying/B004,1
142,frames/Knot_Tying/B003,frames/Knot_Tying/G004,1
34,frames/DoughRolling/S11,frames/DoughRolling/S50,1
222,frames/Knot_Tying/F004,frames/Knot_Tying/G001,1
152,frames/ChopstickUsing/H4,frames/ChopstickUsing/F2,1
184,frames/Knot_Tying/F001,frames/Knot_Tying/F004,1
246,frames/Suturing/G005,frames/Suturing/E003,1
176,frames/ChopstickUsing/C1,frames/ChopstickUsing/B4,1
272,frames/ChopstickUsing/A3,frames/ChopstickUsing/A4,1
9,frames/Knot_Tying/C003,frames/Knot_Tying/D005,0
2,frames/Needle_Passing/H005,frames/Needle_Passing/C005,1
264,frames/ChopstickUsing/G2,frames/ChopstickUsing/F3,1
262,frames/Suturing/F005,frames/Suturing/G001,1
145,frames/Suturing/I004,frames/Suturing/B005,1
28,frames/DoughRolling/S17,frames/DoughRolling/S37,0
12,frames/DoughRolling/S33,frames/DoughRolling/S08,1
252,frames/Knot_Tying/C003,frames/Knot_Tying/I005,1
260,frames/Needle_Passing/I004,frames/Needle_Passing/D003,1
96,frames/Knot_Tying/D004,frames/Knot_Tying/E001,1
261,frames/Knot_Tying/C002,frames/Knot_Tying/I001,1
285,frames/Knot_Tying/E002,frames/Knot_Tying/I002,1
181,frames/Suturing/H005,frames/Suturing/B003,1
260,frames/Knot_Tying/G001,frames/Knot_Tying/I003,1
20,frames/ChopstickUsing/F2,frames/ChopstickUsing/F5,1
124,frames/Suturing/F002,frames/Suturing/D003,1
221,frames/ChopstickUsing/C3,frames/ChopstickUsing/C2,1
257,frames/Suturing/F005,frames/Suturing/F002,1
37,frames/Suturing/F004,frames/Suturing/G004,1
255,frames/ChopstickUsing/H2,frames/ChopstickUsing/A5,1
289,frames/Suturing/B002,frames/Suturing/D001,1
50,frames/Needle_Passing/E001,frames/Needle_Passing/D001,1
235,frames/Suturing/G002,frames/Suturing/G003,1
142,frames/Suturing/F001,frames/Suturing/G002,1
39,frames/Needle_Passing/B004,frames/Needle_Passing/D003,1
79,frames/Needle_Passing/E001,frames/Needle_Passing/D002,1
11,frames/HandDrawing/A3,frames/HandDrawing/A4,0
321,frames/Suturing/G004,frames/Suturing/D001,1
33,frames/Suturing/C005,frames/Suturing/B004,1
46,frames/Needle_Passing/I005,frames/Needle_Passing/F003,1
192,frames/Knot_Tying/H005,frames/Knot_Tying/D001,1
96,frames/Knot_Tying/B003,frames/Knot_Tying/G003,1
153,frames/ChopstickUsing/H1,frames/ChopstickUsing/A5,1
65,frames/ChopstickUsing/E5,frames/ChopstickUsing/F4,0
44,frames/Sonic_Drawing/B2,frames/Sonic_Drawing/C5,1
155,frames/Knot_Tying/D005,frames/Knot_Tying/G003,1
276,frames/Suturing/I003,frames/Suturing/B005,1
71,frames/HandDrawing/A3,frames/HandDrawing/A1,1
264,frames/Suturing/F003,frames/Suturing/G005,1
57,frames/Needle_Passing/I002,frames/Needle_Passing/D001,1
269,frames/Suturing/G005,frames/Suturing/C005,1
68,frames/Needle_Passing/F001,frames/Needle_Passing/C005,1
229,frames/Suturing/H003,frames/Suturing/I004,1
262,frames/Knot_Tying/H003,frames/Knot_Tying/G004,1
76,frames/ChopstickUsing/A3,frames/ChopstickUsing/B1,1
166,frames/Suturing/H003,frames/Suturing/G005,1
7,frames/ChopstickUsing/E3,frames/ChopstickUsing/F5,1
305,frames/Suturing/I005,frames/Suturing/C005,1
145,frames/ChopstickUsing/E2,frames/ChopstickUsing/B5,1
252,frames/ChopstickUsing/D1,frames/ChopstickUsing/D5,1
183,frames/Knot_Tying/C001,frames/Knot_Tying/B001,1
33,frames/DoughRolling/S53,frames/DoughRolling/S29,1
346,frames/Suturing/H003,frames/Suturing/G004,1
339,frames/Suturing/F002,frames/Suturing/E003,1
45,frames/DoughRolling/S07,frames/DoughRolling/S50,1
165,frames/Needle_Passing/I003,frames/Needle_Passing/E001,1
36,frames/Knot_Tying/F002,frames/Knot_Tying/G004,1
202,frames/ChopstickUsing/B3,frames/ChopstickUsing/F1,1
102,frames/Knot_Tying/B003,frames/Knot_Tying/I003,1
309,frames/Suturing/C001,frames/Suturing/C002,1
20,frames/DoughRolling/S08,frames/DoughRolling/S28,1
4,frames/Sonic_Drawing/D3,frames/Sonic_Drawing/A2,1
192,frames/Suturing/C002,frames/Suturing/D004,1
82,frames/DoughRolling/S29,frames/DoughRolling/S17,1
24,frames/Suturing/C002,frames/Suturing/D002,1
119,frames/ChopstickUsing/B1,frames/ChopstickUsing/G2,1
275,frames/ChopstickUsing/H2,frames/ChopstickUsing/A5,1
38,frames/Knot_Tying/C004,frames/Knot_Tying/D005,1
282,frames/Knot_Tying/E003,frames/Knot_Tying/E004,1
232,frames/Suturing/H004,frames/Suturing/C005,1
316,frames/Knot_Tying/H004,frames/Knot_Tying/G004,1
15,frames/DoughRolling/S33,frames/DoughRolling/S34,1
181,frames/Suturing/H005,frames/Suturing/I005,1
257,frames/Knot_Tying/C003,frames/Knot_Tying/B003,1
307,frames/ChopstickUsing/D2,frames/ChopstickUsing/F2,1
348,frames/Suturing/I002,frames/Suturing/G003,1
69,frames/ChopstickUsing/H1,frames/ChopstickUsing/G5,1
166,frames/ChopstickUsing/H5,frames/ChopstickUsing/F4,1
144,frames/Suturing/I005,frames/Suturing/D003,1
25,frames/Sonic_Drawing/B5,frames/Sonic_Drawing/C5,0
9,frames/ChopstickUsing/C5,frames/ChopstickUsing/B5,1
33,frames/Knot_Tying/D004,frames/Knot_Tying/E001,1
114,frames/ChopstickUsing/H4,frames/ChopstickUsing/A4,1
51,frames/Needle_Passing/H002,frames/Needle_Passing/D003,1
174,frames/Needle_Passing/E003,frames/Needle_Passing/C004,1
217,frames/ChopstickUsing/H2,frames/ChopstickUsing/G1,1
289,frames/ChopstickUsing/C5,frames/ChopstickUsing/B4,1
5,frames/Needle_Passing/E004,frames/Needle_Passing/C001,1
23,frames/ChopstickUsing/H4,frames/ChopstickUsing/H5,1
43,frames/Sonic_Drawing/D5,frames/Sonic_Drawing/B5,1
56,frames/Needle_Passing/F001,frames/Needle_Passing/H005,1
221,frames/Knot_Tying/E001,frames/Knot_Tying/D002,1
33,frames/Sonic_Drawing/C3,frames/Sonic_Drawing/B1,1
31,frames/Needle_Passing/B004,frames/Needle_Passing/D001,1
170,frames/Knot_Tying/E002,frames/Knot_Tying/E001,1
51,frames/Suturing/I002,frames/Suturing/I001,1
240,frames/ChopstickUsing/D2,frames/ChopstickUsing/G1,1
54,frames/Suturing/C004,frames/Suturing/C005,1
290,frames/Knot_Tying/G003,frames/Knot_Tying/I005,1
105,frames/ChopstickUsing/D5,frames/ChopstickUsing/A2,1
27,frames/Needle_Passing/I005,frames/Needle_Passing/C001,1
11,frames/ChopstickUsing/A3,frames/ChopstickUsing/H2,0
54,frames/Suturing/H005,frames/Suturing/G003,1
58,frames/DoughRolling/S25,frames/DoughRolling/S15,1
258,frames/ChopstickUsing/E3,frames/ChopstickUsing/C2,1
120,frames/Suturing/I005,frames/Suturing/I001,1
6,frames/HandDrawing/A1,frames/HandDrawing/E4,0
174,frames/Suturing/E004,frames/Suturing/I003,1
219,frames/Knot_Tying/H004,frames/Knot_Tying/D005,1
220,frames/Suturing/I003,frames/Suturing/B003,1
191,frames/Suturing/I004,frames/Suturing/H004,1
75,frames/Needle_Passing/F001,frames/Needle_Passing/B004,1
160,frames/Needle_Passing/F004,frames/Needle_Passing/B003,1
22,frames/HandDrawing/A4,frames/HandDrawing/E4,1
199,frames/ChopstickUsing/E4,frames/ChopstickUsing/G4,1
284,frames/Suturing/G004,frames/Suturing/E001,1
28,frames/DoughRolling/S15,frames/DoughRolling/S11,1
146,frames/Suturing/F005,frames/Suturing/F001,1
256,frames/Suturing/E004,frames/Suturing/B001,1
44,frames/ChopstickUsing/H1,frames/ChopstickUsing/G5,1
42,frames/HandDrawing/E4,frames/HandDrawing/E3,1
214,frames/Needle_Passing/D003,frames/Needle_Passing/C002,1
2,frames/Knot_Tying/D004,frames/Knot_Tying/H005,1
42,frames/Sonic_Drawing/C4,frames/Sonic_Drawing/A2,1
212,frames/ChopstickUsing/C3,frames/ChopstickUsing/G2,1
16,frames/DoughRolling/S15,frames/DoughRolling/S20,0
309,frames/ChopstickUsing/D1,frames/ChopstickUsing/C3,1
157,frames/Needle_Passing/H002,frames/Needle_Passing/C003,1
164,frames/ChopstickUsing/E4,frames/ChopstickUsing/G1,1
315,frames/Suturing/F005,frames/Suturing/E005,1
228,frames/Knot_Tying/D002,frames/Knot_Tying/I005,1
112,frames/Needle_Passing/I004,frames/Needle_Passing/C001,1
31,frames/Needle_Passing/E005,frames/Needle_Passing/D004,1
129,frames/Knot_Tying/E001,frames/Knot_Tying/B003,1
186,frames/Suturing/C004,frames/Suturing/G003,1
244,frames/Knot_Tying/D004,frames/Knot_Tying/I003,1
8,frames/Sonic_Drawing/C4,frames/Sonic_Drawing/A3,1
25,frames/Knot_Tying/C001,frames/Knot_Tying/I005,1
45,frames/DoughRolling/S18,frames/DoughRolling/S50,1
305,frames/Knot_Tying/E004,frames/Knot_Tying/F004,1
175,frames/Needle_Passing/B004,frames/Needle_Passing/D002,1
165,frames/Knot_Tying/G002,frames/Knot_Tying/I005,1
195,frames/ChopstickUsing/E4,frames/ChopstickUsing/G5,1
25,frames/ChopstickUsing/B1,frames/ChopstickUsing/F5,0
103,frames/Suturing/I002,frames/Suturing/G004,1
108,frames/Suturing/C002,frames/Suturing/D001,1
97,frames/Suturing/C005,frames/Suturing/B005,1
27,frames/HandDrawing/E4,frames/HandDrawing/E2,1
10,frames/Suturing/C002,frames/Suturing/G001,1
353,frames/Suturing/D005,frames/Suturing/B005,1
99,frames/Suturing/H003,frames/Suturing/F001,1
2,frames/HandDrawing/E1,frames/HandDrawing/F2,1
142,frames/ChopstickUsing/H4,frames/ChopstickUsing/E1,1
54,frames/DoughRolling/S28,frames/DoughRolling/S34,1
51,frames/Needle_Passing/F003,frames/Needle_Passing/B001,1
108,frames/Knot_Tying/C002,frames/Knot_Tying/C005,1
113,frames/ChopstickUsing/D5,frames/ChopstickUsing/A4,1
30,frames/Needle_Passing/E001,frames/Needle_Passing/D003,1
111,frames/Suturing/I004,frames/Suturing/E005,1
132,frames/Knot_Tying/E001,frames/Knot_Tying/G001,1
180,frames/Suturing/I004,frames/Suturing/D001,1
109,frames/Suturing/B005,frames/Suturing/B004,1
93,frames/Suturing/F005,frames/Suturing/B002,1
135,frames/Needle_Passing/C002,frames/Needle_Passing/B002,1
19,frames/Needle_Passing/E004,frames/Needle_Passing/D004,1
85,frames/ChopstickUsing/F5,frames/ChopstickUsing/C2,1
123,frames/Suturing/G004,frames/Suturing/B001,1
118,frames/Knot_Tying/C001,frames/Knot_Tying/D003,1
198,frames/Suturing/C001,frames/Suturing/B001,1
30,frames/Needle_Passing/F001,frames/Needle_Passing/H004,1
88,frames/Needle_Passing/F001,frames/Needle_Passing/D002,1
59,frames/Sonic_Drawing/B2,frames/Sonic_Drawing/A2,1
1,frames/HandDrawing/F3,frames/HandDrawing/F1,1
19,frames/DoughRolling/S15,frames/DoughRolling/S36,0
304,frames/Suturing/G005,frames/Suturing/E003,1
64,frames/HandDrawing/E4,frames/HandDrawing/F1,1
275,frames/Knot_Tying/D001,frames/Knot_Tying/I005,1
44,frames/Needle_Passing/B004,frames/Needle_Passing/B001,1
387,frames/Suturing/D001,frames/Suturing/G003,1
173,frames/Suturing/H005,frames/Suturing/E005,1
51,frames/DoughRolling/S25,frames/DoughRolling/S40,1
8,frames/Suturing/C003,frames/Suturing/G004,1
141,frames/Knot_Tying/C002,frames/Knot_Tying/B001,1
134,frames/Suturing/E002,frames/Suturing/D001,1
108,frames/Knot_Tying/H005,frames/Knot_Tying/F004,1
109,frames/Knot_Tying/C004,frames/Knot_Tying/G003,1
53,frames/ChopstickUsing/D1,frames/ChopstickUsing/H1,1
114,frames/Knot_Tying/D004,frames/Knot_Tying/D001,1
46,frames/Needle_Passing/B002,frames/Needle_Passing/C003,1
112,frames/Needle_Passing/B004,frames/Needle_Passing/C003,1
32,frames/Needle_Passing/B004,frames/Needle_Passing/C001,1
106,frames/Suturing/H004,frames/Suturing/G001,1
163,frames/Needle_Passing/C004,frames/Needle_Passing/B002,1
42,frames/Suturing/E002,frames/Suturing/B004,1
28,frames/Sonic_Drawing/C2,frames/Sonic_Drawing/C5,0
92,frames/Knot_Tying/H005,frames/Knot_Tying/B001,1
30,frames/Needle_Passing/I005,frames/Needle_Passing/I004,1
26,frames/HandDrawing/B4,frames/HandDrawing/E5,0
187,frames/ChopstickUsing/E3,frames/ChopstickUsing/B1,1
103,frames/Needle_Passing/H005,frames/Needle_Passing/E004,1
87,frames/Suturing/B003,frames/Suturing/B005,1
231,frames/ChopstickUsing/E3,frames/ChopstickUsing/E5,1
157,frames/ChopstickUsing/D2,frames/ChopstickUsing/G2,1
8,frames/Knot_Tying/D004,frames/Knot_Tying/B003,1
31,frames/ChopstickUsing/B3,frames/ChopstickUsing/H4,0
104,frames/Needle_Passing/D002,frames/Needle_Passing/D001,1
7,frames/DoughRolling/S32,frames/DoughRolling/S50,1
54,frames/DoughRolling/S32,frames/DoughRolling/S48,0
178,frames/Suturing/C004,frames/Suturing/I004,1
251,frames/Needle_Passing/C004,frames/Needle_Passing/C003,1
67,frames/DoughRolling/S35,frames/DoughRolling/S51,0
152,frames/ChopstickUsing/D2,frames/ChopstickUsing/B2,1
145,frames/Knot_Tying/D005,frames/Knot_Tying/G002,1
19,frames/Suturing/E002,frames/Suturing/G001,1
350,frames/Suturing/H004,frames/Suturing/G003,1
48,frames/Sonic_Drawing/C3,frames/Sonic_Drawing/B5,1
22,frames/Suturing/E003,frames/Suturing/E004,0
335,frames/Suturing/G002,frames/Suturing/I003,1
97,frames/DoughRolling/S19,frames/DoughRolling/S29,1
32,frames/Suturing/G005,frames/Suturing/G004,1
279,frames/ChopstickUsing/H5,frames/ChopstickUsing/A5,1
69,frames/ChopstickUsing/C3,frames/ChopstickUsing/G3,1
102,frames/ChopstickUsing/D3,frames/ChopstickUsing/A1,1
233,frames/ChopstickUsing/H3,frames/ChopstickUsing/A3,1
26,frames/Needle_Passing/D005,frames/Needle_Passing/B002,1
56,frames/Suturing/G004,frames/Suturing/G002,1
10,frames/Suturing/G004,frames/Suturing/D001,1
11,frames/Suturing/G005,frames/Suturing/D005,1
17,frames/Knot_Tying/C004,frames/Knot_Tying/B002,1
56,frames/DoughRolling/S55,frames/DoughRolling/S16,1
82,frames/Suturing/B003,frames/Suturing/B005,1
13,frames/Sonic_Drawing/B4,frames/Sonic_Drawing/D1,1
2,frames/DoughRolling/S18,frames/DoughRolling/S34,1
250,frames/Needle_Passing/C004,frames/Needle_Passing/D001,1
106,frames/Needle_Passing/C005,frames/Needle_Passing/B001,1
146,frames/Needle_Passing/F001,frames/Needle_Passing/D001,1
47,frames/Suturing/F003,frames/Suturing/D002,1
310,frames/Suturing/D003,frames/Suturing/G001,1
2,frames/Suturing/H003,frames/Suturing/E003,1
5,frames/Suturing/C004,frames/Suturing/D005,1
111,frames/Suturing/F002,frames/Suturing/E003,1
139,frames/Knot_Tying/H004,frames/Knot_Tying/D001,1
70,frames/DoughRolling/S18,frames/DoughRolling/S41,1
